frame_index,filename,track_id,pixel_x,pixel_y,world_x,world_y,world_z,confidence
0,frame_00001.png,1,2466.998,954.119,6.185407,-1.46183,-0.160787,0.933902
1,frame_00002.png,1,2469.276,949.014,6.155025,-1.46183,-0.16435,0.936419
2,frame_00003.png,1,2466.62,947.626,6.121859,-1.46183,-0.16604,0.929074
3,frame_00004.png,1,2460.928,944.222,6.086977,-1.46183,-0.168367,0.931717
4,frame_00005.png,1,2455.549,943.08,6.05197,-1.46183,-0.169927,0.933515
5,frame_00006.png,1,2448.588,940.801,6.016419,-1.46183,-0.172127,0.941169
6,frame_00007.png,1,2443.883,936.434,5.981633,-1.46183,-0.175306,0.939704
7,frame_00008.png,1,2438.86,934.418,5.946962,-1.46183,-0.177104,0.932599
8,frame_00009.png,1,2432.956,932.096,5.910747,-1.46183,-0.179432,0.932819
9,frame_00010.png,1,2426.643,929.864,5.875741,-1.46183,-0.181509,0.938356
10,frame_00011.png,1,2422.699,926.844,5.840548,-1.46183,-0.183678,0.929164
11,frame_00012.png,1,2416.958,925.548,5.805388,-1.46183,-0.185167,0.926018
12,frame_00013.png,1,2411.987,920.146,5.76872,-1.46183,-0.18929,0.892634
13,frame_00014.png,1,2408.173,918.382,5.734433,-1.46183,-0.190902,0.923451
14,frame_00015.png,1,2403.769,916.46,5.699154,-1.46183,-0.192918,0.94224
15,frame_00016.png,1,2399.083,913.714,5.663605,-1.46183,-0.195293,0.921831
16,frame_00017.png,1,2396.761,911.669,5.628532,-1.46183,-0.197156,0.938238
17,frame_00018.png,1,2391.142,908.345,5.592504,-1.46183,-0.200057,0.949625
18,frame_00019.png,1,2386.949,905.437,5.556746,-1.46183,-0.20214,0.942778
19,frame_00020.png,1,2382.0,902.88,5.519593,-1.46183,-0.204655,0.947537
20,frame_00021.png,1,2379.183,901.79,5.484549,-1.46183,-0.206283,0.929418
21,frame_00022.png,1,2374.962,900.263,5.448776,-1.46183,-0.208091,0.939561
22,frame_00023.png,1,2373.399,895.918,5.4139,-1.46183,-0.211188,0.937285
23,frame_00024.png,1,2369.583,893.547,5.377545,-1.46183,-0.213037,0.91177
24,frame_00025.png,1,2365.389,891.4,5.341065,-1.46183,-0.215484,0.895352
25,frame_00026.png,1,2357.775,889.073,5.303132,-1.46183,-0.217925,0.932564
26,frame_00027.png,1,2354.035,886.283,5.267061,-1.46183,-0.220542,0.930348
27,frame_00028.png,1,2350.427,883.943,5.230431,-1.46183,-0.222446,0.924934
28,frame_00029.png,1,2346.829,880.359,5.193441,-1.46183,-0.225154,0.947435
29,frame_00030.png,1,2340.324,878.544,5.155351,-1.46183,-0.22711,0.934293
30,frame_00031.png,1,2336.236,876.09,5.119004,-1.46183,-0.229464,0.89436
31,frame_00032.png,1,2331.402,872.556,5.081419,-1.46183,-0.232044,0.867203
32,frame_00033.png,1,2330.026,869.913,5.045765,-1.46183,-0.234174,0.920628
33,frame_00034.png,1,2324.661,866.985,5.00706,-1.46183,-0.237199,0.92656
34,frame_00035.png,1,2319.775,865.206,4.970243,-1.46183,-0.239197,0.932432
35,frame_00036.png,1,2318.669,861.204,4.934242,-1.46183,-0.242151,0.921108
36,frame_00037.png,1,2313.923,858.676,4.896522,-1.46183,-0.244401,0.922815
37,frame_00038.png,1,2313.955,856.201,4.860292,-1.46183,-0.246367,0.92149
38,frame_00039.png,1,2308.804,854.013,4.822504,-1.46183,-0.248359,0.91816
39,frame_00040.png,1,2301.716,851.862,4.783087,-1.46183,-0.249998,0.925631
40,frame_00041.png,1,2295.589,849.932,4.744237,-1.46183,-0.251441,0.922657
41,frame_00042.png,1,2291.071,846.979,4.70542,-1.46183,-0.253188,0.91146
42,frame_00043.png,1,2288.237,845.962,4.668607,-1.46183,-0.254442,0.920195
43,frame_00044.png,1,2289.491,844.617,4.632618,-1.46183,-0.25496,0.922079
44,frame_00045.png,1,2285.338,842.859,4.593986,-1.46183,-0.256083,0.916462
45,frame_00046.png,1,2281.908,844.48,4.55567,-1.46183,-0.255688,0.855918
46,frame_00047.png,1,2276.211,839.717,4.51698,-1.46183,-0.258215,0.856305
47,frame_00048.png,1,2270.324,836.605,4.477095,-1.46183,-0.259541,0.905518
48,frame_00049.png,1,2266.115,837.674,4.438505,-1.46183,-0.259251,0.857658
49,frame_00050.png,1,2261.275,832.866,4.399126,-1.46183,-0.26209,0.902112
50,frame_00051.png,1,2256.92,831.687,4.360808,-1.46183,-0.262589,0.912714
51,frame_00052.png,1,2252.552,830.116,4.321527,-1.46183,-0.26354,0.904526
52,frame_00053.png,1,2246.644,827.935,4.281727,-1.46183,-0.264911,0.89633
53,frame_00054.png,1,2241.966,827.863,4.242507,-1.46183,-0.265143,0.85053
54,frame_00055.png,1,2237.425,827.916,4.20353,-1.46183,-0.265029,0.805033
55,frame_00056.png,1,2232.902,826.005,4.164265,-1.46183,-0.266143,0.866067
56,frame_00057.png,1,2226.929,823.248,4.123613,-1.46183,-0.267343,0.826858
57,frame_00058.png,1,2222.951,822.211,4.085008,-1.46183,-0.268096,0.85064
58,frame_00059.png,1,2218.391,818.662,4.045444,-1.46183,-0.270151,0.879014
59,frame_00060.png,1,2213.874,818.28,4.006377,-1.46183,-0.270322,0.89083
60,frame_00061.png,1,2208.357,815.629,3.965773,-1.46183,-0.271661,0.90688
61,frame_00062.png,1,2205.179,814.969,3.926713,-1.46183,-0.272048,0.90062
62,frame_00063.png,1,2200.051,811.842,3.886872,-1.46183,-0.273779,0.844004
63,frame_00064.png,1,2195.694,812.82,3.847112,-1.46183,-0.273166,0.804214
64,frame_00065.png,1,2190.851,810.622,3.807495,-1.46183,-0.274066,0.868635
65,frame_00066.png,1,2185.902,810.926,3.767196,-1.46183,-0.273662,0.851906
66,frame_00067.png,1,2181.17,809.911,3.727073,-1.46183,-0.274301,0.905461
67,frame_00068.png,1,2176.946,809.531,3.687498,-1.46183,-0.274434,0.873613
68,frame_00069.png,1,2173.584,810.404,3.648448,-1.46183,-0.273873,0.818514
69,frame_00070.png,1,2168.729,807.489,3.607956,-1.46183,-0.275014,0.83051
70,frame_00071.png,1,2168.1,811.109,3.570054,-1.46183,-0.273253,0.820107
71,frame_00072.png,1,2160.159,807.125,3.52808,-1.46183,-0.27508,0.862143
72,frame_00073.png,1,2162.088,807.417,3.490992,-1.46183,-0.274788,0.734616
73,frame_00074.png,1,2189.262,819.775,3.466984,-1.46183,-0.268426,0.889843
74,frame_00075.png,1,2211.253,818.242,3.439891,-1.46183,-0.269127,0.739647
75,frame_00076.png,1,2165.241,808.045,3.378664,-1.46183,-0.273551,0.643712
76,frame_00077.png,1,2147.879,804.916,3.332149,-1.46183,-0.274562,0.592959
77,frame_00078.png,1,2136.154,798.553,3.287953,-1.46183,-0.277123,0.787184
78,frame_00079.png,1,2128.437,797.277,3.245776,-1.46183,-0.277363,0.640578
79,frame_00080.png,1,2106.798,790.547,3.196934,-1.46183,-0.280046,0.610186
80,frame_00081.png,1,2103.365,789.483,3.157207,-1.46183,-0.279837,0.708151
81,frame_00082.png,1,2090.583,787.024,3.112063,-1.46183,-0.280524,0.808114
82,frame_00083.png,1,2090.086,789.747,3.073482,-1.46183,-0.278669,0.855087
83,frame_00084.png,1,2093.22,792.095,3.036857,-1.46183,-0.276733,0.906516
84,frame_00085.png,1,2093.261,792.224,2.998693,-1.46183,-0.275945,0.926207
85,frame_00086.png,1,2092.214,791.431,2.959489,-1.46183,-0.275359,0.904862
86,frame_00087.png,1,2088.697,791.221,2.919169,-1.46183,-0.275165,0.888871
87,frame_00088.png,1,2084.13,790.105,2.87812,-1.46183,-0.274821,0.885351
88,frame_00089.png,1,2080.543,788.878,2.838609,-1.46183,-0.274643,0.838731
89,frame_00090.png,1,2075.778,789.081,2.79701,-1.46183,-0.273823,0.732012
90,frame_00091.png,1,2071.986,788.915,2.756424,-1.46183,-0.273272,0.890091
91,frame_00092.png,1,2071.108,787.574,2.717168,-1.46183,-0.273201,0.309906
92,frame_00093.png,1,2064.72,786.8,2.675875,-1.46183,-0.272633,0.670696
94,frame_00095.png,1,1997.299,779.854,2.564779,-1.46183,-0.273943,0.359211
95,frame_00096.png,1,2035.305,778.458,2.544684,-1.46183,-0.27336,0.757678
96,frame_00097.png,1,2048.065,777.008,2.512709,-1.46183,-0.273106,0.528459
97,frame_00098.png,1,2043.049,779.139,2.471055,-1.46183,-0.270871,0.849485
98,frame_00099.png,1,2036.011,781.256,2.428955,-1.46183,-0.268672,0.891398
99,frame_00100.png,1,2045.302,782.252,2.394082,-1.46183,-0.266899,0.764642
100,frame_00101.png,1,2032.321,783.714,2.349228,-1.46183,-0.264995,0.853834
101,frame_00102.png,1,2023.86,783.498,2.305918,-1.46183,-0.264018,0.898297
102,frame_00103.png,1,2017.905,783.277,2.263943,-1.46183,-0.26288,0.786498
103,frame_00104.png,1,2014.512,783.848,2.223081,-1.46183,-0.261738,0.854291
104,frame_00105.png,1,2011.008,783.429,2.183012,-1.46183,-0.260534,0.863091
105,frame_00106.png,1,2004.309,782.547,2.140385,-1.46183,-0.260006,0.882638
106,frame_00107.png,1,2000.407,782.307,2.099473,-1.46183,-0.258937,0.875692
107,frame_00108.png,1,1995.249,781.959,2.057854,-1.46183,-0.258118,0.895866
108,frame_00109.png,1,1990.232,782.495,2.016791,-1.46183,-0.25661,0.869809
109,frame_00110.png,1,1988.892,784.0,1.976799,-1.46183,-0.255163,0.880298
110,frame_00111.png,1,1983.781,781.59,1.935375,-1.46183,-0.255036,0.882105
111,frame_00112.png,1,1977.269,780.315,1.892402,-1.46183,-0.254645,0.895579
112,frame_00113.png,1,1973.559,779.15,1.851875,-1.46183,-0.254477,0.880244
113,frame_00114.png,1,1967.448,778.524,1.810125,-1.46183,-0.253638,0.864739
114,frame_00115.png,1,1961.699,778.008,1.767818,-1.46183,-0.25286,0.877544
115,frame_00116.png,1,1960.131,776.932,1.727493,-1.46183,-0.252706,0.875066
116,frame_00117.png,1,1956.067,776.67,1.686339,-1.46183,-0.252078,0.878135
117,frame_00118.png,1,1951.698,776.529,1.645537,-1.46183,-0.251261,0.873927
118,frame_00119.png,1,1947.104,776.359,1.603974,-1.46183,-0.250463,0.873513
119,frame_00120.png,1,1939.575,774.93,1.560744,-1.46183,-0.250146,0.900748
120,frame_00121.png,1,1939.366,773.828,1.520352,-1.46183,-0.249838,0.883252
121,frame_00122.png,1,1936.288,773.344,1.480688,-1.46183,-0.249067,0.879243
122,frame_00123.png,1,1930.962,773.245,1.43835,-1.46183,-0.248549,0.901724
123,frame_00124.png,1,1925.936,772.73,1.396831,-1.46183,-0.24782,0.892131
124,frame_00125.png,1,1921.276,772.191,1.354755,-1.46183,-0.247488,0.892036
125,frame_00126.png,1,1915.934,771.082,1.313218,-1.46183,-0.247205,0.918171
126,frame_00127.png,1,1911.325,771.15,1.271775,-1.46183,-0.246592,0.919177
127,frame_00128.png,1,1907.292,771.176,1.230209,-1.46183,-0.24574,0.904736
128,frame_00129.png,1,1901.931,771.236,1.187421,-1.46183,-0.244751,0.889942
129,frame_00130.png,1,1897.695,771.143,1.147082,-1.46183,-0.243793,0.867677
130,frame_00131.png,1,1894.185,770.556,1.105464,-1.46183,-0.243329,0.888555
131,frame_00132.png,1,1889.736,769.497,1.063557,-1.46183,-0.242175,0.888618
132,frame_00133.png,1,1885.85,769.243,1.021157,-1.46183,-0.241604,0.913647
133,frame_00134.png,1,1880.417,768.372,0.98018,-1.46183,-0.240822,0.893228
134,frame_00135.png,1,1874.608,767.555,0.936944,-1.46183,-0.239876,0.894387
135,frame_00136.png,1,1870.653,767.386,0.895504,-1.46183,-0.23844,0.875791
136,frame_00137.png,1,1867.942,767.665,0.854195,-1.46183,-0.236661,0.862353
137,frame_00138.png,1,1863.101,767.032,0.812274,-1.46183,-0.235513,0.875131
138,frame_00139.png,1,1857.024,767.554,0.769944,-1.46183,-0.233604,0.837936
139,frame_00140.png,1,1855.958,768.862,0.72926,-1.46183,-0.231226,0.862636
140,frame_00141.png,1,1851.103,768.624,0.686903,-1.46183,-0.229331,0.891515
141,frame_00142.png,1,1847.135,768.351,0.645557,-1.46183,-0.227946,0.886659
142,frame_00143.png,1,1839.737,768.653,0.601331,-1.46183,-0.225721,0.909961
143,frame_00144.png,1,1835.249,769.195,0.560268,-1.46183,-0.223749,0.880558
144,frame_00145.png,1,1828.699,770.179,0.516095,-1.46183,-0.22132,0.899796
145,frame_00146.png,1,1825.89,769.982,0.475278,-1.46183,-0.219416,0.862553
146,frame_00147.png,1,1821.936,769.748,0.433558,-1.46183,-0.217369,0.764582
147,frame_00148.png,1,1818.17,770.041,0.392059,-1.46183,-0.215041,0.682517
148,frame_00149.png,1,1812.085,771.441,0.349034,-1.46183,-0.212717,0.522164
150,frame_00151.png,1,1808.523,772.09,0.267147,-1.46183,-0.208458,0.399477
151,frame_00152.png,1,1802.472,770.994,0.225294,-1.46183,-0.207268,0.611236
152,frame_00153.png,1,1794.438,768.763,0.180823,-1.46183,-0.205926,0.691002
153,frame_00154.png,1,1792.092,769.414,0.13964,-1.46183,-0.203818,0.733921
154,frame_00155.png,1,1787.24,772.432,0.09723,-1.46183,-0.200624,0.877771
155,frame_00156.png,1,1783.273,776.278,0.056503,-1.46183,-0.196919,0.844502
156,frame_00157.png,1,1779.477,778.228,0.01359,-1.46183,-0.19366,0.847312
157,frame_00158.png,1,1771.277,777.367,-0.03012,-1.46183,-0.192325,0.849371
158,frame_00159.png,1,1768.21,778.295,-0.071036,-1.46183,-0.189701,0.839174
159,frame_00160.png,1,1761.395,778.454,-0.113859,-1.46183,-0.187354,0.838343
160,frame_00161.png,1,1761.01,781.375,-0.154198,-1.46183,-0.18465,0.877376
161,frame_00162.png,1,1754.523,780.881,-0.197639,-1.46183,-0.182633,0.890134
162,frame_00163.png,1,1753.406,783.131,-0.237799,-1.46183,-0.17958,0.894409
163,frame_00164.png,1,1748.157,783.344,-0.280334,-1.46183,-0.177346,0.87329
164,frame_00165.png,1,1739.074,780.297,-0.324135,-1.46183,-0.176846,0.861549
165,frame_00166.png,1,1736.775,782.035,-0.366014,-1.46183,-0.174161,0.846825
166,frame_00167.png,1,1731.154,782.071,-0.408019,-1.46183,-0.172082,0.889528
